category,description,tool_count
"Audio, music, and voice","Speech synthesis, transcription, music generation, and audio editing.",34
Automation and agents,"Workflow automation, integrations, and autonomous agents.",61
Business and finance,"Finance, legal, human resources, commerce, and operations.",55
Chatbots and assistants,"General-purpose assistants, answer engines, and conversational products.",13
Coding and development,"Tools used while writing, reviewing, testing, or shipping software.",35
Customer support,"Helpdesk automation, ticket resolution, and customer-facing chat.",59
Data and analytics,"Analysis, dashboards, extraction, and business intelligence.",35
Design and creative,"Interface design, prototyping, and visual creative work.",28
Developer infrastructure and models,"Model hosting, training, inference, and machine-learning infrastructure.",15
Education and learning,"Teaching, studying, tutoring, and course material.",66
Health and lifestyle,"Health, fitness, travel, food, and personal life.",50
Image generation and editing,"Generating, editing, upscaling, and retouching still images.",27
Marketing and advertising,"Campaign work, advertising, social media, and brand content.",37
Presentations and documents,"Slides, documents, PDFs, contracts, and structured paperwork.",28
Productivity and workflow,"Meetings, notes, tasks, calendars, and everyday knowledge work.",41
Research and knowledge,"Literature search, citation work, and knowledge management.",55
SEO and search,"Keyword research, search visibility, technical SEO, and rank tracking.",44
Sales and CRM,"Prospecting, outreach, pipeline management, and revenue operations.",30
Video,"Video generation, editing, captioning, dubbing, and animation.",17
Writing and content,"Drafting, rewriting, editing, summarising, and translating text.",18
