name,official_url,primary_category,secondary_category,pricing_model,platform,short_description,open_source,api_available,last_verified
008,https://www.008agent.ai/,Customer support,Sales and CRM,Paid; Free Trial,Web; API,"Conversational agent platform designed to automate customer support and sales processes by handling inquiries, qualifying leads, and scheduling appointments through natural language interactions.",false,true,2026-08-18
0ptikube,https://www.0ptikube.dev/,Automation and agents,Coding and development,Free; Open Source,Web; CLI,"Open-source tool designed to simplify Kubernetes cluster creation, management, and automation for developers and DevOps professionals.",true,false,2026-08-18
101.school,https://101.school/,Education and learning,Research and knowledge,Freemium,Web,"Web-based interactive education platform that enables teachers to create and assign digital exercises and assessments, supporting both in-person and remote learning environments.",false,false,2026-08-18
10x Rules,https://10xrules.ai/,Automation and agents,Coding and development,Paid; Free Trial,Web,"No-code AI platform that enables businesses to automate decision-making and workflows, helping accelerate growth and operational efficiency without coding.",false,false,2026-08-18
10xWinners OKR,https://10xwinners.com/,Research and knowledge,Productivity and workflow,Paid; Free Trial,Web,"Web platform that helps organizations set, track, and manage Objectives and Key Results to improve alignment and performance through agile goal management.",false,false,2026-08-18
123Colorize,https://123colorize.com/,Image generation and editing,,Freemium,Web,"Web tool that automatically adds color to black and white photos, enabling quick and realistic photo restoration online.",false,false,2026-08-18
123kanfang.com,https://123kanfang.com/,Video,,Free,Web,Free Chinese streaming website offering a wide range of TV shows and movies without requiring registration.,false,false,2026-08-18
12min,https://12min.com/,Health and lifestyle,Marketing and advertising,Freemium,Web; iOS; Android,Microlearning platform providing 12-minute text and audio summaries of nonfiction books to help users quickly grasp key concepts.,false,false,2026-08-18
1440 - Time on Purpose,https://1440.ai/,Health and lifestyle,Research and knowledge,Freemium,Web,"AI-driven daily planner that helps users allocate their 1440 minutes each day intentionally to improve productivity, focus, and goal achievement through personalized scheduling.",false,false,2026-08-18
1440.io,https://www.1440.io/,Productivity and workflow,Writing and content,Freemium,Web,"Writing assistant that helps users generate, edit, and improve written content efficiently through advanced AI features.",false,false,2026-08-18
14DaysOfAI,https://www.100school.com/,Education and learning,Research and knowledge,Free,Web,"Free, 14-day online challenge by 100 School that helps beginners learn practical AI skills through daily hands-on tasks and community support.",false,false,2026-08-18
15minuteplan.ai,https://www.15minuteplan.ai/,Automation and agents,Marketing and advertising,Freemium,Web,AI-driven platform that enables entrepreneurs and small businesses to quickly generate professional business plans using guided templates and automated content creation.,false,false,2026-08-18
16x Prompt,https://prompt.16x.engineer/,Developer infrastructure and models,Productivity and workflow,Freemium,Web,"Web tool that automates the generation and optimization of prompts to improve AI language model responses, boosting productivity for developers and content creators.",false,false,2026-08-18
17hats,https://17hats.com/,Sales and CRM,Business and finance,Paid; Free Trial,Web; iOS; Android,"Cloud-based business management software designed for freelancers and small businesses to manage clients, projects, invoicing, and automate workflows.",false,false,2026-08-18
1MB V4,https://1mb.co/,Research and knowledge,Data and analytics,Freemium,Web,Lightweight web performance monitoring tool that provides real-time analytics and actionable recommendations to optimize website speed and user experience.,false,false,2026-08-18
